Gender,Age,Employee Type,Employment Status,Job Title,Company Name,Division,Area,Department,Tenure
Female,43,Permanent Full Time,0,Coordinator,EllisDon Corporation,Enterprise Intelligence,Corporate-Head office,Operations,0
Male,38,Permanent Full Time,1,Design,GateThree Inc,Enterprise Intelligence,Ottawa,Operations,1
Female,34,Permanent Full Time,0,Accounting,EllisDon Construction Services Inc,Civil,Edmonton,Building Services,4
Male,17,Permanent Full Time,1,Field Engineer,EllisDon Corporation,Finance,Calgary,Finance,1
Female,35,Permanent Full Time,0,Coordinator,EllisDon Corporation,Enterprise Intelligence,Corporate-Head office,Operations,
Male,38,Permanent Full Time,1,Design,GateThree Inc,Enterprise Intelligence,Ottawa,Operations,1
Female,34,Permanent Full Time,0,Accounting,EllisDon Construction Services Inc,Civil,Edmonton,Building Services,4
Male,17,Permanent Full Time,1,Field Engineer,EllisDon Corporation,Finance,Calgary,Finance,1
Female,35,Permanent Full Time,0,Coordinator,EllisDon Corporation,Enterprise Intelligence,Corporate-Head office,Operations,
Male,38,Permanent Full Time,1,Design,GateThree Inc,Enterprise Intelligence,Ottawa,Operations,1
Female,34,Permanent Full Time,0,Accounting,EllisDon Construction Services Inc,Civil,Edmonton,Building Services,4
Male,17,Permanent Full Time,1,Field Engineer,EllisDon Corporation,Finance,Calgary,Finance,1
Female,35,Permanent Full Time,0,Coordinator,EllisDon Corporation,Enterprise Intelligence,Corporate-Head office,Operations,
Male,38,Permanent Full Time,1,Design,GateThree Inc,Enterprise Intelligence,Ottawa,Operations,1
Female,34,Permanent Full Time,0,Accounting,EllisDon Construction Services Inc,Civil,Edmonton,Building Services,4
Male,17,Permanent Full Time,1,Field Engineer,EllisDon Corporation,Finance,Calgary,Finance,1
Female,35,Permanent Full Time,0,Coordinator,EllisDon Corporation,Enterprise Intelligence,Corporate-Head office,Operations,
Male,38,Permanent Full Time,1,Design,GateThree Inc,Enterprise Intelligence,Ottawa,Operations,1
Female,34,Permanent Full Time,0,Accounting,EllisDon Construction Services Inc,Civil,Edmonton,Building Services,4
Male,17,Permanent Full Time,1,Field Engineer,EllisDon Corporation,Finance,Calgary,Finance,1
Female,35,Permanent Full Time,0,Coordinator,EllisDon Corporation,Enterprise Intelligence,Corporate-Head office,Operations,
